Treatment,Lesion
Mock ,1.101
Mock ,1.027
Mock ,0.84
Mock ,0.795
Mock ,1.399
Mock ,1.03
Treatment 1,0.623
Treatment 1,0.778
Treatment 1,0.763
Treatment 1,0.696
Treatment 1,1.068
Treatment 1,0.874
Treatment 2,0.51408982
Treatment 2,0.611371257
Treatment 2,0.647505988
Treatment 2,0.725811377
Treatment 2,0.448191617
Treatment 2,0.511368263
