Treatment,Lesion
Mock ,1.923
Mock ,1.882
Mock ,2.027
Mock ,1.461
Mock ,1.675
Mock ,2.504
Treatment 1,2.436
Treatment 1,1.669
Treatment 1,1.705
Treatment 1,1.82
Treatment 1,1.518
Treatment 1,1.551
Treatment 2,1.274
Treatment 2,1.668
Treatment 2,1.258
Treatment 2,1.086
Treatment 2,1.075
Treatment 2,0.928
Treatment 2,1.206
