Treatment,Lesion
Mock ,0.959
Mock ,1.226
Mock ,0.823
Mock ,0.919
Mock ,0.857
Mock ,0.946
Treatment 1,1.361
Treatment 1,1.606
Treatment 1,0.894
Treatment 1,0.8
Treatment 1,0.772
Treatment 1,0.727
Treatment 2,0.530811377
Treatment 2,0.578083832
Treatment 2,0.60855988
Treatment 2,0.535613772
Treatment 2,0.715688623
Treatment 2,0.694844311
